EmployeeNumber,Age,Gender,MaritalStatus,Department,JobRole,EducationField,Education,JobLevel,MonthlyIncome,PercentSalaryHike,StockOptionLevel,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,BusinessTravel,OverTime,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,NumCompaniesWorked,TrainingTimesLastYear,DistanceFromHome,Attrition
1,35,Male,Divorced,Research & Development,Research Scientist,Life Sciences,2,2,8669,19,1,3,2,4,3,4,Non-Travel,Yes,26,15,7,14,9,2,26,No
2,45,Male,Single,Research & Development,Laboratory Technician,Marketing,5,3,8881,23,0,3,2,2,2,4,Travel_Frequently,Yes,5,21,17,9,9,6,12,Yes
3,22,Male,Single,Research & Development,Manager,Marketing,2,3,22482,16,0,3,3,4,4,3,Travel_Rarely,Yes,38,2,1,1,2,3,13,Yes
4,53,Male,Single,Sales,Manager,Life Sciences,2,5,23182,25,1,3,3,3,4,4,Travel_Rarely,Yes,29,14,4,8,2,1,24,No
5,55,Male,Single,Research & Development,Healthcare Representative,Life Sciences,2,2,11469,23,1,3,4,3,3,3,Travel_Rarely,No,29,27,16,8,8,6,1,Yes
6,52,Female,Married,Research & Development,Research Scientist,Other,3,5,8168,23,0,4,4,4,3,3,Travel_Frequently,Yes,40,17,16,6,2,2,25,No
7,18,Female,Married,Sales,Manager,Life Sciences,1,4,21090,24,0,3,2,4,1,2,Travel_Frequently,Yes,30,38,17,5,4,4,28,Yes
8,52,Male,Divorced,Research & Development,Laboratory Technician,Life Sciences,2,2,6878,12,0,3,4,2,3,2,Non-Travel,No,4,12,11,10,0,1,3,No
9,22,Female,Divorced,Human Resources,Manager,Human Resources,4,2,26814,23,1,3,2,1,3,3,Travel_Rarely,Yes,22,32,13,13,7,6,24,No
10,59,Male,Single,Sales,Manager,Technical Degree,2,3,22977,18,0,4,1,3,3,4,Travel_Rarely,Yes,35,6,1,0,8,6,1,Yes
11,28,Female,Single,Human Resources,Human Resources,Marketing,4,3,8644,17,1,3,3,4,2,4,Travel_Frequently,Yes,31,26,4,6,4,1,2,Yes
12,21,Male,Divorced,Research & Development,Manufacturing Director,Medical,1,5,24684,12,1,3,1,1,3,4,Non-Travel,Yes,15,20,18,1,9,0,14,Yes
13,51,Male,Married,Research & Development,Manufacturing Director,Other,3,4,23240,16,3,4,4,1,2,3,Non-Travel,Yes,36,20,3,2,8,1,17,Yes
14,22,Female,Divorced,Sales,Sales Representative,Other,5,1,5727,21,2,3,3,3,2,4,Non-Travel,No,8,15,8,3,1,5,18,No
15,56,Female,Married,Sales,Sales Representative,Life Sciences,1,4,5259,24,0,3,4,4,2,3,Non-Travel,No,16,13,2,11,7,4,23,Yes
16,25,Male,Divorced,Research & Development,Research Scientist,Medical,4,2,5681,11,0,4,4,4,3,4,Travel_Rarely,Yes,22,4,1,5,3,5,4,No
17,44,Male,Single,Research & Development,Manufacturing Director,Other,3,4,21494,23,1,3,4,2,4,2,Travel_Rarely,Yes,6,39,12,1,7,1,7,No
18,40,Male,Single,Research & Development,Research Director,Life Sciences,3,3,22097,21,1,3,4,4,4,3,Travel_Rarely,Yes,1,19,3,8,2,4,9,No
19,45,Male,Divorced,Sales,Manager,Marketing,1,4,22657,11,1,3,4,4,3,4,Non-Travel,Yes,12,22,11,13,1,5,11,No
20,25,Male,Married,Research & Development,Manager,Other,4,2,20263,20,1,3,3,4,3,3,Travel_Frequently,No,13,19,13,10,7,3,15,No
21,48,Female,Divorced,Research & Development,Manufacturing Director,Medical,3,2,18924,23,0,3,3,2,2,3,Non-Travel,No,4,10,7,6,9,1,23,Yes
22,43,Female,Married,Research & Development,Research Director,Human Resources,4,1,16673,19,0,4,1,3,3,4,Travel_Rarely,Yes,33,15,10,14,9,6,24,Yes
23,53,Female,Married,Research & Development,Research Director,Marketing,5,4,21105,21,0,3,4,4,3,2,Travel_Frequently,No,21,28,10,2,2,1,8,No
24,31,Male,Married,Research & Development,Laboratory Technician,Human Resources,1,5,4079,17,1,4,3,2,3,3,Travel_Frequently,Yes,26,4,4,5,8,6,20,Yes
25,32,Female,Divorced,Research & Development,Research Director,Medical,5,5,20872,11,3,3,3,3,1,2,Travel_Frequently,No,27,17,4,14,2,0,9,No
26,47,Male,Married,Research & Development,Laboratory Technician,Other,5,1,8284,16,0,3,2,4,4,1,Travel_Frequently,No,1,20,7,6,0,4,5,No
27,60,Female,Married,Sales,Sales Representative,Other,1,2,4099,15,0,3,3,3,2,4,Non-Travel,No,24,7,6,3,1,4,23,Yes
28,24,Male,Divorced,Research & Development,Laboratory Technician,Marketing,1,5,7434,21,0,4,4,4,3,2,Travel_Rarely,Yes,23,19,14,4,6,1,24,No
29,35,Male,Married,Research & Development,Manager,Marketing,2,1,28103,15,2,3,4,3,3,3,Travel_Frequently,No,24,39,10,0,7,6,11,No
30,40,Male,Married,Sales,Sales Executive,Medical,4,4,8301,19,2,3,2,3,4,3,Non-Travel,Yes,1,16,2,9,3,3,23,No
31,55,Male,Divorced,Sales,Manager,Marketing,3,2,25096,12,1,3,3,4,3,4,Travel_Frequently,No,11,23,6,6,7,2,24,No
32,56,Male,Single,Research & Development,Manufacturing Director,Human Resources,2,3,15890,11,3,3,4,4,4,2,Travel_Frequently,No,31,18,3,0,9,2,16,Yes
33,29,Male,Single,Research & Development,Healthcare Representative,Other,1,2,6191,13,2,4,2,1,4,2,Travel_Rarely,No,35,3,3,4,9,6,20,No
34,42,Male,Married,Sales,Manager,Other,1,2,30448,21,0,3,4,2,2,2,Non-Travel,No,4,28,5,0,6,3,23,No
